node_id,skill_tag,question,question_type,difficulty,answer_key
,计算机网络,在浏览器中输⼊ URL并按下回⻋之后会发⽣什么,technical,medium,"超⾼频⾯试题，从这道⾯试题开始可以延伸到计算机⽹络有关的很多问题，如果这道题答的很好，可以把⾯
试官引导到你更熟悉的地⽅。
1. 第⼀步：输⼊ URL并解析
这⾥可以引申到 URL的组成部分，这⾥不做过多的展开。
输⼊URL 后，浏览器会解析出协议、主机、端⼝、路径等信息，并构造⼀个 HTTP请求（浏览器会根据请求头判断
是否有HTTP缓存  ,并根据是否有缓存决定是从服务器获取资源还是使⽤缓存资源，具体内容会在 HTTP缓存章节讲
解）
2. 第⼆步： DNS域名解析 , 将域名解析成对应的 IP地址
在发送 HTTP请求之前，浏览器需要知道想要访问⽹⻚ (url)对应的 IP地址，这就需要使⽤到  DNS域名解析  （DNS域名
解析的具体内容也会在后⾯章节中讲解）。
3. 第三步：建⽴起 TCP连接之三次握⼿"
,计算机网络,什么？三次握⼿过程中可以携带数据吗？,technical,easy,"客户端和服务器之间进⾏ HTTP请求和 HTTP响应的过程中，需要建⽴起 TCP连接， TCP连接需要进⾏三次握⼿（具
体内容在后⾯章节中讲解）。
4. 第四步：浏览器发送 HTTP/HTTPS 请求到 web服务器"
,计算机网络,DNS是什么,technical,easy,"DNS（Domain Name System ） 是⼀种⽤于将域名（例如 www.baidu.com ）转换为 IP地址（例如
220.181.111.188  ）的分布式系统。在互联⽹上，计算机和其他⽹络设备使⽤ IP地址来相互识别和通信。然⽽，
IP地址是⼀串数字，不太⽅便⼈们使⽤和记忆，所以就使⽤了域名来代替复杂的 IP地址"
,计算机网络,域名的层级关系,technical,easy,"DNS 中的域名都是⽤句点来分隔的，⽐如  www .server.com ，这⾥的句点代表了不同层次之间的界限。
在域名中，越靠右的位置表示其层级越⾼。"
,计算机网络,DNS解析过程,technical,hard,"1. 先查询浏览器缓存是否有该域名对应的 IP地址。
2. 如果浏览器缓存中没有，会去计算机本地的 Host⽂件中查询是否有对应的缓存。
3. 如果Host⽂件中也没有则会向 本地的 DNS服务器（通常由你的互联⽹服务提供商（ ISP）提供，  ⽐如中国移
动）发送⼀个 DNS查询请求。
4. 如果本地 DNS解析器有该域名的 ip地址，就会直接返回，如果没有缓存该域名的解析记录，它会向 根DNS服
务器发出查询请求。根 DNS服务器并不负责解析域名，但它能告诉本地 DNS解析器应该向哪个顶级域
（.com/.net/.org ）的 DNS服务器继续查询。
5. 本地DNS解析器接着向指定的 顶级域名 DNS服务器发出查询请求。顶级域 DNS服务器也不负责具体的域名解
析，但它能告诉本地 DNS解析器应该前往哪个权威 DNS服务器查询下⼀步的信息。
6. 本地DNS解析器最后向 权威DNS服务器发送查询请求。  权威DNS服务器是负责存储特定域名和 IP地址映射的
服务器。当权威 DNS服务器收到查询请求时，它会查找 ""example.com""域名对应的 IP地址，并将结果返回给本
地"
,计算机网络,递归查询和迭代查询,technical,medium,"递归查询和迭代查询是在 DNS解析过程中⽤于获取域名解析信息的两种不同⽅法。
1. 递归查询
在递归查询中， DNS客户端（通常是本地 DNS解析器）向上层 DNS服务器（如根域名服务器、顶级域名服务器） 发
起查询请求，并要求这些服务器直接提供完整的解析结果。递归查询的特点是， DNS客户端只需要发送⼀个查询请
求，然后等待完整的解析结果。上层 DNS服务器会⾃⾏查询下⼀级的服务器，并将最终结果返回给 DNS客户端。
2. 迭代查询
在迭代查询中， DNS客户端向上层 DNS服务器发起查询请求，但不要求直接提供完整的解析结果。相反， DNS客户
端只是询问上层服务器⼀个更⾼级的域名服务器的地址，然后再⾃⾏向那个更⾼级的服务器发起查询请求，以此类
推，直到获取完整的解析结果为 ⽌。
递归查询适合普通⽤户和客户端，⽽迭代查询适⽤于 DNS服务器之间的通信。"
,计算机网络,兼容HTTP1.1,technical,easy,"HTTP2，为改善 HTTP1.1 ⽽提出，同时兼容了 HTTP1.1 ，具体做法如下：
头部压缩
1、HTTP1.1 报⽂中 Header部分存在的问题：
2、HTTP2的改造：
使⽤HPACK算法压缩头部。 HPACK算法包含三个组成部分："
,计算机网络,（iii） Huffman 编码（压缩算法 ）,technical,hard,"客户端和服务器都会建⽴和维护【字典】，⽤⻓度较⼩的索引号表示重复的字符串，再⽤ Huffman 编码压缩数
据。
（1） 静态表编码：
HTTP2  为⾼频出现在头部的字符串和字段建⽴了⼀张静态表，它是写⼊到  HTTP2  框架⾥的，不会变化的，静态表
⾥共有  61 组：
（2） 动态表编码：
使得动态表⽣效的⼀个前提：必须同⼀个连接上，重复传输完全相同的 HTTP头部。
动态表越⼤，占⽤的内存也就越⼤，如果占⽤了太多内存，是会影响服务器性能的，因此  Web 服务器都会提供类
似  http2_max_requests  的配置，⽤于限制⼀个连接上能够传输的请求数，避免动态表⽆限增⼤，请求数到达上
限后，就会关闭  HTTP/2  连接来释放内存。
HTTP2头部的编码通过【静态表、动态表、 Huffman编码】共同完成。
⼆进制帧
HTTP2更厉害的地⽅在于：将 HTTP1的⽂本格式改成⼆进制格式传输数据，极⼤提⾼了 HTTP传输效率，⽽且⼆进
制数据使⽤位运算能⾼效解析。
两者响应区别（如下图 ）：
HTTP2⼆进制帧的结构：
HTTP2总共定义了 10种类型的帧，分为两类，"
,计算机网络,服务器主动推送资源,technical,hard,"1、HTTP1.1 与HTTP2的⽐较：
HTTP1. 1不⽀持服务器主动推送资源给客户端，都是由客户端向服务器发起请求后，才能获取到服务器响应的资
源。在 HTTP 2中，客户端在访问 HTM L时，服务器可以直接主动推送 CSS⽂件，减少了消息传递的次数。
HTTP2推送的具体实现⽅式：
总结
HTTP2协议还包括：流控制、流状态、依赖关系等。
本次主要介绍了关于 HTTP如何提升性能：
HTTP/3
HTTP/2  队头阻塞的问题是因为  TCP，所以  HTTP/3  把 HTTP  下层的  TCP 协议改成了  UDP！
HTTP/3  基于 QUIC 协议，具有以下特点：
零 RTT 连接建⽴ ：QUIC  允许在⾸次连接时进⾏零往返时间（ Zero Round  Trip Time）连接建⽴，从⽽减少
了连接延迟，加快了⻚⾯加载速度。
⽆队头阻塞 :   QUIC  使⽤UDP 协议来传输数据。⼀个连接上的多个 stream之间没有依赖 , 如果⼀个 stream丢了
⼀个UDP包，不会影响后⾯的 stream，不存在  TCP 队头阻塞
连接迁移 ：QUIC  允许在"
,计算机网络,QUIC协议的特点,technical,easy,"UDP是⼀个简单的、不可靠的传输协议，⽽且 UDP包之间是⽆序的，也没有依赖关系。 UDP也不需要连接。
HTTP3基于UDP协议在  应⽤层  实现了QUIC 协议，它有类似 TCP的连接管理、拥塞窗⼝、流量控制的⽹络特性，相
当于将不可靠的 UDP协议变成可靠的了，⽆需担⼼数据包丢包的问题。"
,计算机网络,"对服务器发起请求 , 所以这⾥有⼀个巨⼤的漏洞： “如果我本地时间不准咋办？ ”正是因为这个原因，该字段⽬",technical,hard,"前已经基本上被废弃了。
Cache-Control 强缓存  ： http1.1 中增加该字段，只要在资源的响应头上写上需要缓存多久就好了，单位是
秒。  Cache-Control:max -age=N , 有max-age、s-maxage 、no-cache、no-store、private、public这
六个属性。
max-age 决定客户端资源被缓存多久。
s-maxage 决定代理服务器缓存的时⻓。
no-cache 表示是强制进⾏协商缓存。
no-store 是表示禁⽌任何缓存策略。
public 表示资源既可以被浏览器缓存也可以被代理服务器缓存。
private 表示资源只能被浏览器缓存，默认为 private
具体的流程如下：
当浏览器第⼀次请求访问服务器资源时，服务器会在返回这个资源的同时，在  Response  头部加上  Cache -
Control，Cache -Control  中设置了过期时间⼤⼩；
浏览器再次请求访问服务器中的该资源时，会先 通过请求资源的时间与  Cache -Control  中设置的过期时间⼤
⼩，来计算出该资源是否过期 ，如"
,计算机网络,最后设置Cache-control:no -cache,technical,hard,"当客户端读取到 Last-Modified  的时候，会在下次的请求标头中携带⼀个字段 : If-Modified -Since ，⽽这
个请求头中的 If-Modified -Since 就是服务器第⼀次修改时候给他的时间
之后每次对该资源的请求，都会带上 If-Modified -Since 这个字段，⽽服务端就需要拿到这个时间并再次读
取该资源的修改时间，让他们两个做⼀个⽐对来决定是读取缓存还是返回新的资源
如果最后修改时间较新（⼤）， 说明资源⼜被改过，则返回最新资源，  HTTP 200 OK 如果最后修改时间较旧
（⼩）， 说明资源⽆新修改，响应 HTTP 304  ⾛缓存。
缺点：
因为是根据⽂件修改时间来判断的，所以，在⽂件内容本身不修改的情况下，依然有可能更新⽂件修改时间
（⽐如修改⽂件名再改回来）， 这样，就有可能⽂件内容明明没有修改，但是缓存依然失效了。
当⽂件在极短时间内完成修改的时候（⽐如⼏百毫秒） 。因为⽂件修改时间记录的最⼩单位是秒，所以，如果
⽂件在⼏百毫秒内完成修改的话，⽂件修改时间不会改变，这样，即使⽂件内容修改了，依然不会    返回新的
⽂件。
"
,计算机网络,的ETag中并返回给客户端,technical,medium,"缺点：
ETag需要计算⽂件指纹这样意味着，服务端需要更多的计算开销。如果⽂件尺⼨⼤，数量多，并且计算频
繁，那么 ETag的计算就会影响服务器的性能。显然， ETag在这样的场景下就不是很适合。
ETag有强验证和弱验证，所谓将强验证， ETag⽣成的哈希码深⼊到每个字节。哪怕⽂件中只有⼀个字节改变
了，也会⽣成不同的哈希值，它可以保证⽂件内容绝对的不变。但是，强验证⾮常消耗计算量。 ETag还有⼀个
弱验证，弱验证是提取⽂件的部分属性来⽣成哈希值。因为不必精确到每个字节，所以他的整体速度会⽐强 验
证快，但是准确率不⾼。会降低协商缓存的有效性。
协商缓存这两个字段都需要配合强制缓存中  Cache -Control 字段来使⽤，只有在未能命中强制缓存的时候，
才能发起带有协商缓存字段的请求 。
HTTPS"
,计算机网络,TSL：Transport  Layer  Security  安全传输层协议,technical,easy,"HTTPS  = HTTP+SSL/TSL
SSL/TLS"
,计算机网络,握⼿阶段延时较⾼：在会话前还需进⾏ SSL握⼿,technical,easy,部署成本⾼：需要购买 CA证书；需要加解密计算，占⽤ CPU资源，需要服务器配置或数⽬⾼
,计算机网络,摘要算法 +数字签名,technical,hard,"为了保证传输的内容不被修改，可以将传输的内容计算出⼀个【指纹】，对⽅收到后，也把接收的内容计算出⼀个
【指纹】，然后进⾏对⽐，如果【指纹】相同，则说明内容没有被篡改，常常会使⽤摘要算法（哈希函数） 来计算
出内容的哈希值，通过摘要算法可以⽣成数据的唯⼀标识，从⽽验证数据的完整性。
但是摘要算法只能保证内容不被修改，不能保证发送者的身份，为了避免这种情况，计算机⾥会⽤ ⾮对称加密算法
来解决，共有两个密钥：公钥⽤于验证签名，私钥⽤于⽣成签名。私钥是由服务端保管，然后服务端会向客户端颁
发对应的公钥。如果客户端收到的信息，能被公钥解密，就说明该消息是由服务器发送的。
1. ⽣成数字签名 ：
发送者使⽤私钥对消息的摘要（通常是通过哈希函数计算得到） 进⾏加密，⽣成数字签名。
数字签名是消息的哈希值经过私钥加密的结果。
2. 发送消息和数字签名 ：
发送者将原始消息和⽣成的数字签名⼀起发送给接收者。
3. 验证数字签名 ：
接收者收到消息和数字签名后，使⽤发送者的公钥对数字签名进⾏解密，得到摘要值。
接收者再次计算收到的消息的摘要（使⽤相同的哈希函数）， 将其与解密得到的摘要值进⾏⽐较。
如果"
,计算机网络,改成⾃⼰的公钥，这⼜该怎么办呢？这就需要使⽤到数字证书。,technical,hard,"1. 密钥⽣成 ：
⾸先，实体（例如服务器、个⼈或组织） 需要⽣成⼀对密钥：公钥和私钥。
公钥是⽤于加密和验证的，可以被公开分享。
私钥⽤于解密和签名，必须保密，只有持有者知道。
2. 证书请求（ CSR - Certificate  Signing  Request ）：
实体⽣成⼀个证书请求，其中包含公钥、实体信息（如名称、电⼦邮件等） 和签名。
CSR是⼀个包含有关实体信息的⽂本块，可以被发送到  数字证书颁发机构（ CA） 以获取数字证书。
3. 证书颁发 ：
实体将证书请求发送给数字证书颁发机构（ CA）。
CA会验证请求者的身份，然后使⽤⾃⼰的私钥对请求中的信息进⾏签名，⽣成数字证书。
数字证书包括公钥、实体信息、 CA的信息和签名等内容。
4. 证书验证 ：
当实体收到数字证书时，它可以使⽤ CA的公钥验证证书的签名，确保证书未被篡改且由合法的 CA签发。
接收者可以检查证书中的实体信息以及 CA的信息，确保证书的合法性。
5. 数字证书使⽤ ：
接收者可以使⽤数字证书中的公钥来加密数据，然后发送给证书的持有者。
持有者使⽤私钥解密数据，保护数据的机密性。
持有者还可以使"
,计算机网络,TCP与UDP头部格式,technical,hard,"UDP
⽬标端⼝和源端⼝：
主要是告诉  UDP 协议应该把报⽂发给哪个进程。
包⻓度：
该字段保存了  UDP  ⾸部的⻓度跟数据的⻓度之和。
校验和：
校验和是为了提供可靠的   UDP  ⾸部和数据⽽设计，接收⽅使⽤检验和来检查该报⽂段中是否出现差错。
TCP
源端⼝号和⽬的端⼝号：
⽤于多路复⽤ /分解来⾃或送到上层应⽤的数据。告诉主机报⽂段来⾃哪⾥，传给哪个上层协议或应⽤程序。
序列号：
该报⽂段⾸字节的字节流编号，⽤来解决⽹络包乱序问题。确认应答号：对发送来的  TCP 报⽂段的响应，值是收到
的 TCP 报⽂段的序号值加 1，⽤来解决不丢包的问题。序列号和确认应答号都⽤于实现可靠数据传输。
⾸部⻓度：
标识  TCP 头部有多少字节，最⻓  60。
窗⼝⼤⼩：
接收窗⼝，告诉对⽅本端 TCP缓冲区还有多少空间可以接收数据，⽤来做流量控制。
标志字段：
ACK：⽤于指示确认应答号值是否有效，置 1表示包含⼀个对已成功接收报⽂段的确认；
RST：⽤于重置⼀个已经混乱的连接，或拒绝⼀个⽆效的数据段或者连接请求；    SYN：
⽤于连接建⽴过程，请求建⽴⼀个连接；       "
,计算机网络,列举TCP选项,technical,hard,"TCP头部的最后⼀个选项字段（ options）是可变⻓的可选信息。这部分最多包含 40字节，因为 TCP头部最⻓是 60
字节（其中还包含前⾯讨论的 20字节的固定部分） 。
选项的第⼀个字段 kind说明选项的类型，有的 TCP选项没有后⾯两个字段，仅包含 1字节的 kind字段。
第⼆个字段 length（如果有的话）指定该选项的总⻓度。该⻓度包括 kind字段和 length字段占据的 2字节。
第三个字段 info（如果有的话）是选项的具体信息。
常⻅的 TCP选项有 7种：
1、kind=0，选项表结束（ EOP）选项。
⼀个报⽂段仅⽤⼀次。放在末尾⽤于填充，⽤途是说明：⾸部已经没有更多的消息，应⽤数据在下⼀个 32位字开始
处。
2、kind=1，空操作（ NOP）选项。
没有特殊含义，⼀般⽤于将 TCP选项的总⻓度填充为 4字节的整数倍。
3、kind=2，最⼤报⽂段⻓度（ MSS）选项。
TCP连接初始化时，通信双⽅使⽤该选项来协商最⼤报⽂段⻓度 。TCP模块通常将 MSS设置为（ MTU-40）字节（ 减
掉的这 40字节包括 20字节的 TCP头部和 20字节的 "
