node_id,skill_tag,question,question_type,difficulty,answer_key
,MySQL,MySQL 索引有哪些类别？,technical,easy,按数据结构分：B+tree、Hash、Full-text；按物理存储分：聚簇、二级；按字段特性分：主键、唯一、普通、前缀；按字段个数分：单列、联合。
,MySQL,哈希索引和有序数组的优缺点及适用场景分别是什么？,technical,medium,哈希：无序，插入快，适合等值查询，不适合区间。有序数组：等值和区间查询好，但增删慢，适合静态存储引擎。
,MySQL,为什么数据库索引通常使用 B+ 树而不是二叉搜索树？,technical,medium,二叉树高度高导致磁盘 IO 多。B+ 树是 N 叉树，降低树高，减少磁盘读取次数，提高查询效率。
,MySQL,聚簇索引和二级索引在叶子节点存储内容上有什么区别？,technical,medium,聚簇索引叶子节点存实际数据，一张表只有一个。二级索引叶子节点存主键值，查询需回表。
,MySQL,什么是覆盖索引？它如何提升查询性能？,technical,easy,查询数据在二级索引叶子节点找到，无需回表。减少树的搜索次数，显著提升查询性能。
,MySQL,联合索引的最左匹配原则是什么？,technical,medium,查询条件必须从索引最左边开始匹配，不能跳过中间列。遇到范围查询后，后续字段无法利用索引。
,MySQL,什么是索引下推优化（Index Condition Pushdown）？,technical,hard,MySQL 5.6 引入，联合索引遍历中先判断包含字段条件，过滤不满足记录，减少回表次数。
,MySQL,建立联合索引时，字段顺序应如何根据区分度排列？,technical,medium,根据索引区分度，把区分度大的字段排在前面，以提高过滤效率。
,MySQL,在实际开发中，建立索引有哪些注意事项？,technical,easy,不是越多越好，降低 insert/update 效率。数据量小的表不需建。不经常使用的列不要建。
,MySQL,索引的优缺点是什么？,technical,medium,优点：加快检索速度，保证唯一性。缺点：占用空间大，增删改时维护成本高，降低 SQL 执行效率。
,MySQL,什么时候需要创建索引？,technical,easy,频繁查询的列、大表、有唯一性要求的列（主键/外键）、用于排序和分组的列。
,MySQL,什么时候不需要创建索引？,technical,easy,小表、经常更新的字段、很少查询的字段、重复数据多的字段（如性别）。
,MySQL,索引优化有哪些常用方法？,technical,medium,前缀索引优化、覆盖索引优化、主键自增、避免过多索引。
,MySQL,索引在哪些情况下会失效？,technical,hard,模糊匹配（%abc）、索引列上使用函数/表达式、OR 条件不匹配最左原则、数据分布不均、隐式类型转换。
,MySQL,为什么使用 B+ 树作为索引结构？,technical,medium,非叶节点只存索引，更矮胖减少 I/O；叶子节点链表连接利于范围查询；插入删除效率更高。
,MySQL,什么是事务？MyISAM 引擎是否支持事务？,technical,easy,事务是不可分割的工作单元。MyISAM 不支持事务，被 InnoDB 取代。
,MySQL,事务的四大特性 ACID 分别是什么？如何保证？,technical,medium,原子性（undo log）、一致性（持久 + 原子 + 隔离）、隔离性（MVCC/锁）、持久性（redo log）。
,MySQL,并行事务会出现哪些问题？,technical,medium,脏读（读未提交数据）、不可重复读（前后读取不一致）、幻读（记录数量不一致）。
,MySQL,SQL 标准定义的四个隔离级别是什么？MySQL 默认是哪个？,technical,medium,读未提交、读提交、可重复读、串行化。InnoDB 默认是可重复读。
,MySQL,MySQL InnoDB 是如何解决幻读问题的？,technical,hard,针对快照读（普通 select 语句），是通过 MVCC 方式解决幻读。
,MySQL,MySQL 是如何解决幻读问题的？,technical,medium,通过 next-key lock（记录锁 + 间隙锁）方式解决。当执行 select ... for update 语句时，会加上 next-key lock，如果有其他事务在锁范围内插入，会被阻止。
,MySQL,MySQL 事务隔离级别具体是如何实现的？,technical,medium,读未提交直接读取最新数据；串行化加读写锁；读提交和可重复读通过 Read View 实现。读提交每次 select 生成新 Read View，可重复读启动事务时生成一个 Read View。
,MySQL,Read View 在 MVCC 中是如何工作的？,technical,hard,事务启动创建 Read View，包含活跃事务 ID 列表、最小/最大 ID 等。读取数据时比较记录 trx_id 与 Read View 中的值：小于 min_trx_id 可见；大于等于 max_trx_id 不可见；介于之间判断是否在 m_ids 列表中。
,MySQL,MySQL 读已提交隔离级别是怎么实现的？,technical,medium,使用 MVCC 实现。每个事务读取数据时看到数据的版本，已提交事务产生版本，未提交不可见。写操作创建新版本而非直接修改原始数据，确保事务不看到未提交更改。
,MySQL,MySQL 事务的启动方式有哪些？,technical,easy,显式启动（begin/start transaction）；关闭线程自提交（set autocommit=0）。建议默认使用 set autocommit=1，避免长连接导致长事务。
,MySQL,如何避免长事务对业务的影响？,technical,medium,应用端：检查 autocommit 设置，去除只读事务，控制语句执行时间。数据库端：监控 innodbtrx 表，设置阈值报警或 kill，使用 pt-kill 工具，调整 undo tablespace 配置。
,MySQL,MySQL 中常见的锁种类有哪些？,technical,medium,包括全局锁（如 flush tables with read lock）、表级锁（表锁、元数据锁 MDL、意向锁）。锁用于解决并发下的脏读、不可重复读、幻读等问题，实现不同隔离级别。
,MySQL,MySQL 全局锁的作用和使用场景是什么？,technical,easy,对整个数据库实例加锁。典型场景是全库逻辑备份。命令是 flush tables with read lock，阻塞数据更新、定义及更新类事务提交。
,MySQL,MySQL 表锁的特点和语法是什么？,technical,easy,特点：锁住整张表，开销小，加锁快，并发度最低。语法：lock tables … read/write。可用 unlock tables 释放，断开连接自动释放。
,MySQL,MySQL 元数据锁（MDL）的作用和工作机制是什么？,technical,medium,保证读写正确性，防止结构变更影响查询。访问表时自动加上。增删改查加读锁，结构变更加写锁。事务中语句结束不立即释放，直到事务提交后释放。
,MySQL,MySQL 中的意向锁是什么？,technical,medium,意向锁是表级锁，表示事务打算在资源上获得共享或排他锁。分为意向共享锁和意向排他锁。目的是快速判断表里是否有记录被加锁，不会和行级锁冲突，只与表级锁冲突。
,MySQL,MySQL 中 AUTO-INC 锁的作用及缺陷是什么？,technical,medium,作用：保证主键自增值连续递增。缺陷：大量插入时阻塞其他事务，影响性能。改进：InnoDB 使用轻量级锁，插入赋值后立即释放，无需等待语句结束。
,MySQL,InnoDB 存储引擎的行锁有哪些类型？,technical,medium,包括 Record Lock（记录锁）、Gap Lock（间隙锁）和 Next-Key Lock（临键锁）。Record 锁单条记录；Gap 锁范围不包含记录本身，解决幻读；Next-Key 是两者组合，保护记录并阻止新记录插入。
,MySQL,MySQL 可重复读隔离级别下的加锁规则是什么？,technical,hard,基本单位是 Next-Key Lock（前开后闭区间）。查找过程中访问到的对象才会加锁。索引等值查询唯一索引退化为行锁，不满足条件时退化为间隙锁。唯一索引范围查询有 Bug（8.0 已修复）。
,MySQL,共享锁和排他锁的区别是什么？,technical,easy,共享锁（S 锁）允许读取但不修改，多个事务可共存。排他锁（X 锁）只允许锁定事务使用，禁止其他事务查询或修改。更新操作自动加排他锁。两者均可作用于行或表。
,MySQL,什么是乐观锁？,technical,easy,认为对同一数据的并发操作是小概率事件，不采用数据库自身锁机制。通常通过版本号或时间戳实现，减少锁开销，提高并发度。
,MySQL,什么是悲观锁？,technical,easy,对数据被其他事务修改持保守态度，通过数据库自身锁机制实现，保证数据操作的排它性。
,MySQL,乐观锁和悲观锁的适用场景分别是什么？,technical,medium,乐观锁适合读多写少场景，无死锁但无法阻止库外操作；悲观锁适合写多场景，有排它性防止冲突，但并发访问性较差。
,MySQL,Innodb 使用表锁还是行锁？,technical,easy,绝大部分情况应该使用行锁。
,MySQL,什么情况下 Innodb 会使用表锁？,technical,medium,1. 表比较大，事务需要更新全部或大部分数据；2. 事务涉及多个表，较复杂可能引起死锁造成大量回滚。
,MySQL,MySQL 中主要有哪些日志类型及其作用？,technical,medium,1. undo log：Innodb 生成，用于事务回滚和 MVCC；2. redo log：Innodb 生成，用于持久性和故障恢复；3. binlog：Server 层生成，用于备份和主从复制。
,MySQL,什么是 undo log？,technical,medium,记录事务更新前的数据状态，用于事务回滚和 MVCC。包含操作类型、旧值、位置、事务 ID 等，通过 roll_pointer 串成版本链。
,MySQL,什么是 redo log？,technical,easy,物理日志，记录数据页做了什么修改。事务提交时先持久化到磁盘，用于掉电等故障恢复，保证持久性。
,MySQL,redo log 和 undo log 有什么区别？,technical,medium,1. 记录内容：redo 记更新后值，undo 记更新前值；2. 崩溃处理：提交前崩溃用 undo 回滚，提交后崩溃用 redo 恢复。
,MySQL,什么是 binlog？,technical,easy,Server 层生成的归档日志，记录所有表结构变更和数据修改（不含查询），用于备份恢复和主从复制。
,MySQL,redo log 和 binlog 有什么区别？,technical,hard,1. 对象：binlog Server 层通用，redo log Innodb 引擎；2. 格式：redo 物理日志，binlog 有 Statement/Row/Mixed；3. 写入：binlog 追加，redo 循环写；4. 用途：binlog 主从/备份，redo 故障恢复。
,MySQL,为什么需要两阶段提交？,technical,hard,保证 redo log 和 binlog 逻辑一致。若只刷一个导致宕机，会造成主库与从库数据不一致。
,MySQL,两阶段提交的流程是什么？,technical,hard,分为 Prepare 和 Commit 阶段。MySQL 开启 XA 事务，binlog 为协调者，存储引擎为参与者。Commit 语句触发，redo log 写入拆分为 prepare 和 commit，中间穿插写 binlog。
,MySQL,MySQL 支持哪些存储引擎？,technical,easy,可通过 SHOW ENGINES 命令查看。常用有 InnoDB（默认，支持事务、行锁）、MyISAM（不支持事务、表级锁）、Memory（内存存储，重启丢失）。
,MySQL,InnoDB 与 MyISAM 的主要区别及适用场景是什么？,technical,medium,区别：InnoDB 支持事务/ACID/行锁/外键/崩溃恢复；MyISAM 不支持事务/表级锁/无外键。场景：InnoDB 适合高并发写、需数据一致性；MyISAM 适合读多写少。
,MySQL,什么是幻读？,technical,medium,同一事务中前后两次查询同一范围，第二次看到了第一次没看到的行。通常发生在可重复读隔离级别下的当前读场景，专指新插入的行。
,MySQL,幻读会带来哪些问题？,technical,easy,主要破坏行锁语义，导致并发控制失效；同时破坏了数据的一致性，使得事务内的多次查询结果不一致。
,MySQL,MySQL 如何避免幻读问题？,technical,hard,存储引擎采用加间隙锁（Gap Lock）的方式。在可重复读级别下，使用 next-key lock（行锁 + 间隙锁）锁定索引记录及间隙，阻塞新插入操作。
,MySQL,为什么会出现幻读现象？,technical,medium,因为普通的行锁只能锁定存在的行，无法对新插入的操作进行限定。如果只加行锁，其他事务可以插入符合查询条件的新行，导致当前事务再次查询时看到新数据。
,MySQL,什么是间隙锁？它是如何解决幻读的？引入了什么问题？,technical,hard,间隙锁锁定行与行之间的间隙，阻塞新插入。解决幻读但降低了并发度，可能导致死锁（不同线程给同一间隙加锁互相等待）。
,MySQL,SELECT ... FOR UPDATE 的使用场景是什么？,technical,medium,用于长事务或需要防止高并发数据出错时。开启事务后对数据进行加锁（当前读），防止其他事务修改，确保数据一致性（如库存扣减）。
,MySQL,InnoDB 事务隔离级别的一致性视图是如何实现的？,technical,hard,基于快照读。事务启动时拍快照（基于整个库），事务内修改对其他事务不可见。根据发生时间处理 DDL 冲突（报错或锁住）。
,MySQL,MySQL 事务是如何实现 MVCC 的？,technical,hard,每个事务有唯一 ID。启动时找到已提交最大事务 ID。更新时将旧值写入 undo log，并在数据页修改值。通过一致性视图判断版本可见性。
,MySQL,MySQL 事务提交的两阶段提交流程是什么？,technical,hard,准备阶段：写 redo log 并持久化，状态设为 prepare。提交阶段：写 binlog 并持久化，调用引擎提交接口，redo log 状态设为 commit。确保 binlog 成功即视为成功。
,MySQL,唯一索引和非唯一索引的范围查询在加锁优化上有何区别？,technical,hard,唯一索引等值查询退化为行锁，范围查询也遵循特定优化。非唯一索引范围查询会访问不满足条件的第一个值，不会退化，加锁范围更大。
,MySQL,LIMIT 语句在执行过程中加锁有什么特点？,technical,medium,遍历到满足条件的指定数量数据后，后续不再加 next-key lock。这会影响锁的范围和性能，需注意死锁风险。
,MySQL,MVCC 中事务如何判断对数据的读取权限（可见性）？,technical,medium,比较 up_limit_id 与 transaction id。若 up_limit_id >= transaction id 则可见；若 < 则去 undo log 查找，必须 up_limit_id > transaction id 才返回数据。
,MySQL,什么是当前读？,technical,medium,先读后写，只能读当前的值。会更新事务内的 up_limit_id 为该事务的 transaction id。利用 record lock+gap lock 实现。
,MySQL,隐藏列中的 DB_ROW_ID 有什么作用？DB_ROLL_PTR 在回滚和提交时是如何变化的？,technical,hard,DB_ROW_ID 存储行 ID。DB_ROLL_PTR 指向 undo log 版本链。回滚时保留旧版本，提交后由 purge 线程清理，不立即物理删除。
,MySQL,为什么 RR 隔离级别能实现可重复读而 RC 不能？,technical,medium,RR 快照读不更新 up_limit_id，且用锁；RC 每次快照读更新 up_limit_id 为最新已提交事务 id，导致同一事务内读到不同版本。
,MySQL,应该如何选择普通索引还是唯一索引？,technical,easy,查询上唯一索引命中即停，普通继续，性能差距微乎其微。更新上唯一索引不能使用 change buffer。建议尽可能使用普通索引。
,MySQL,char 和 varchar 有什么区别？,technical,easy,char 固定长度，不足补空字节；varchar 变长，存储实际数据加长度信息。Compact 格式下 varchar 额外存储长度字节。
,MySQL,MySQL 抖动是什么意思？,technical,easy,运行不稳定，后台刷脏页等任务占用 IO 或内存资源，导致 SQL 执行效率明显变慢，业务感知到性能波动。
,MySQL,MySQL 抖动会带来什么问题？,technical,easy,系统不稳定，性能突然下降，对业务端体验非常不友好，影响正常交易或服务响应。
,MySQL,如何让 MySQL 避免抖动？,technical,medium,设置合理的 innodb_io_capacity 参数，平时多关注脏页比例，不要让脏页比例经常接近 75%。
,MySQL,什么是脏页？,technical,easy,当内存数据页跟磁盘数据页内容不一致的时候，称这个内存页为脏页。
,MySQL,什么是干净页？,technical,easy,内存数据写入到磁盘后，内存和磁盘上的数据页的内容就一致了，称为干净页。
,MySQL,脏页是怎么产生的？,technical,medium,使用了 WAL 技术，把数据库的随机写转化为顺序写，先写 redo log，延迟刷盘，副作用就是会产生脏页。
,MySQL,什么是随机写？为什么随机写耗性能？,technical,medium,这次写磁盘的扇区和上次无关，需重新定位位置。机械运动慢，即使非机械也耗时，是成本最高的操作之一。
,MySQL,什么是顺序写？,technical,easy,这次写磁盘的扇区就在上一次的下一个位置，不需要重新定位写磁盘的位置，速度很快。
,MySQL,WAL 技术如何将随机写转化为顺序写？,technical,medium,先写 redo log 是顺序写的，等合适时候再写磁盘，间接将随机写变成了顺序写，提高了性能。
,MySQL,为什么删除了一半数据，表文件大小没变化？,technical,easy,delete 只是标记记录位置或数据页为“可复用”，属于逻辑删除，物理空间未实际释放，表文件大小不变。
,MySQL,表的数据信息存在哪里？,technical,easy,存储在数据文件/数据页中，具体取决于存储引擎，如 InnoDB 存储在表空间的数据文件中。
,MySQL,innodb_file_per_table 参数的作用是什么？,technical,medium,控制表数据是否单独存储在.ibd 文件中。建议开启，便于管理。关闭时存储在共享表空间，删除表后空间不释放。
,MySQL,表的结构信息存在哪里？,technical,easy,MySQL 8.0 前存在.frm 文件；8.0 后允许存在系统数据表中（如数据字典），不再依赖.frm 文件。
,MySQL,删除表数据后，如何让表文件大小变小？,technical,medium,重建表消除空洞。使用 alter table t engine=InnoDB 或 optimize table t。truncate table t 等同于 drop+create。
,MySQL,什么是空洞？它是如何产生的？,technical,medium,被标记可复用但未使用的存储空间。产生于 delete 删除、插入引起页分裂、修改操作（先删后插）。
,MySQL,Count(*) 执行慢怎么办？,technical,hard,InnoDB 需逐行扫描累积，无法像 MyISAM 直接返回。要么忍受，要么应用层手动记录总数。
,MySQL,Count() 函数的语义是什么？,technical,medium,聚合函数，对结果集逐行判断。若参数非 NULL 则累计值加 1，否则不加。InnoDB 需读取数据行判断。
,MySQL,Count(字段)、Count(主键 id)、Count(1)、Count(*) 在 InnoDB 中的计数原理有何区别？,technical,hard,Count(字段): 判空累加；Count(pk): 遍历取 id 累加；Count(1): 遍历不取值放 1 累加；Count(*): 专门优化不取值，专取行数。Server 层决定返回值。
,MySQL,Order by 子句是如何工作的？,technical,hard,分配 sort_buffer 内存排序。内存不足用磁盘临时文件。可选全字段排序或 rowid 排序（需回表）。建索引可避免排序。
,MySQL,如何正确地显示随机消息（随机查询优化）？,technical,hard,避免 order by rand()。可用随机 ID 法：生成介于主键最小和最大值之间的随机数，取不小于该随机数的主键 ID 对应的行。
,MySQL,为什么 SQL 语句逻辑相同，性能却差异巨大？,technical,medium,主要因索引失效。1. 字段函数操作破坏有序性；2. 隐式类型转换（如字符串转数字）；3. 隐式字符编码转换。这些会导致优化器放弃树搜索，转为全表扫描。
,MySQL,为什么我只查一行的语句，也执行这么慢？,technical,medium,原因有四：1. 数据库本身资源不足被堵；2. SQL 被锁（表锁/行锁）；3. 索引使用不当未走索引；4. 数据特点导致一致性读需多次回滚读取当前事务值。
,MySQL,为什么临时表可以重名？,technical,easy,用户临时表是线程可见的，互不干扰。线程退出时自动删除，无需收尾。在 row 模式下 binlog 不记录，避免主备不一致。注意区分内存临时表。
,MySQL,group-by 的使用原则是什么？,technical,medium,1. 无排序要求加 order by null；2. 尽量用索引，explain 检查无 Using temporary/filesort；3. 小数据量用内存临时表；4. 大数据量用 SQL_BIG_RESULT 提示直接排序。
,MySQL,一张表可以存储多少条信息？,technical,hard,取决于 B+ 树高度和页大小。InnoDB 默认页 16KB，存约 16 条记录。非叶节点存指针，高 3 层可存约 6700 万条。一般索引高度在 3 左右。
,MySQL,"有一个联合索引 (A,B,C)，select * from test where a,c 会不会使用索引？",technical,medium,不会。违反最左前缀原则。B+ 树按 A->B->C 排序，跳过 B 后 C 的值不再连续，无法区间查找，只能全表扫描或效率极低。
,MySQL,MySQL 为什么要进行分库分表？,technical,easy,解决单库瓶颈（磁盘空间、I/O、处理能力）和单表瓶颈（CRUD 困难、索引膨胀、查询超时）。通过切分提升并发能力和系统稳定性。
,MySQL,什么是垂直分表及其拆分原则？,technical,easy,基于列字段拆分大表。原则：1. 不常用字段单独放；2. 大字段（text/blob）拆到附表；3. 业务组合查询列放一起。减少 IO 浪费。
,MySQL,什么是垂直分库及其适用场景？,technical,medium,按业务模块拆分数据库。适用于高并发、单机资源（CPU/内存/连接数）瓶颈场景。能解耦业务，方便微服务改造和管理。
,MySQL,什么是水平分表？,technical,easy,将一个大表的数据按行拆分到多个结构相同的表中。每个表只有部分数据，合起来是全部数据。用于解决单表数据量过大导致的查询慢问题。
,MySQL,什么是水平分库？,technical,medium,将同一张表的数据按规则拆分到不同数据库服务器，结构相同数据不同，粒度比分表大，解决单库资源瓶颈。
,MySQL,分库分表的常见切分规则有哪些？,technical,easy,包括 Range（范围）、Hash 取模、地理区域划分、时间范围切分等，需根据业务场景选择合适的分片键和策略。
,MySQL,什么是垂直分表和垂直分库？,technical,medium,垂直分表是将一个表的字段拆分到多个表；垂直分库是根据业务相关性将表放到不同数据库服务器，避免资源竞争。
,MySQL,单表数据量建议控制在多少以内？,technical,easy,常规建议单表在 1000 万以内，推荐百万级别，优先进行 SQL 和索引优化，结合缓存等方案，不宜过早分库分表。
,MySQL,分库分表后主要面临哪些问题？,technical,hard,包括跨节点 Join 关联查询困难、分布式事务一致性、排序分页复杂、全局主键冲突、二次扩容及技术选型问题。
,MySQL,分库分表后如何解决全局主键重复问题？,technical,medium,不能使用自增 ID，通常采用雪花算法、UUID 或数据库号加自增 ID 组合等方式生成唯一全局主键。
,MySQL,分库分表后如何处理分布式事务问题？,technical,hard,涉及跨库事务，需引入分布式事务解决方案（如 TCC、Seata 等）或最终一致性方案来保证数据一致性。
,MySQL,分库分表后如何实现数据的排序和分页？,technical,hard,需在各个分片节点分别排序，汇总后再排序；非分片字段排序更复杂，会增加 CPU/IO 损耗，需特殊处理。
,MySQL,海量数据排序的基本思路是什么？,technical,medium,分割段阶段使用内部排序生成顺串，合并阶段进行多路归并，利用败者树减少比较次数以降低 I/O 开销。
,MySQL,MySQL 主从复制的基本概念和工作模式是什么？,technical,easy,数据从主节点复制到从节点，默认异步复制，支持全库、特定库或表复制，用于备份和读写分离。
,MySQL,MySQL 主从复制的主要用途有哪些？,technical,easy,主要用于数据实时备份与故障切换、实现读写分离降低主库压力、以及通过增加节点进行架构扩展。
