node_id,skill_tag,question,question_type,difficulty,answer_key
,计算机网络,什么？三次握⼿过程中可以携带数据吗？,technical,easy,"客户端和服务器之间进⾏ HTTP请求和 HTTP响应的过程中，需要建⽴起 TCP连接， TCP连接需要进⾏三次握⼿（具
体内容在后⾯章节中讲解）。
4. 第四步：浏览器发送 HTTP/HTTPS 请求到 web服务器"
,计算机网络,DNS是什么,technical,easy,"DNS（Domain Name System ） 是⼀种⽤于将域名（例如 www.baidu.com ）转换为 IP地址（例如
220.181.111.188  ）的分布式系统。在互联⽹上，计算机和其他⽹络设备使⽤ IP地址来相互识别和通信。然⽽，
IP地址是⼀串数字，不太⽅便⼈们使⽤和记忆，所以就使⽤了域名来代替复杂的 IP地址"
,计算机网络,"对服务器发起请求 , 所以这⾥有⼀个巨⼤的漏洞： “如果我本地时间不准咋办？ ”正是因为这个原因，该字段⽬",technical,hard,"前已经基本上被废弃了。
Cache-Control 强缓存  ： http1.1 中增加该字段，只要在资源的响应头上写上需要缓存多久就好了，单位是
秒。  Cache-Control:max -age=N , 有max-age、s-maxage 、no-cache、no-store、private、public这
六个属性。
max-age 决定客户端资源被缓存多久。
s-maxage 决定代理服务器缓存的时⻓。
no-cache 表示是强制进⾏协商缓存。
no-store 是表示禁⽌任何缓存策略。
public 表示资源既可以被浏览器缓存也可以被代理服务器缓存。
private 表示资源只能被浏览器缓存，默认为 private
具体的流程如下：
当浏览器第⼀次请求访问服务器资源时，服务器会在返回这个资源的同时，在  Response  头部加上  Cache -
Control，Cache -Control  中设置了过期时间⼤⼩；
浏览器再次请求访问服务器中的该资源时，会先 通过请求资源的时间与  Cache -Control  中设置的过期时间⼤
⼩，来计算出该资源是否过期 ，如"
,计算机网络,改成⾃⼰的公钥，这⼜该怎么办呢？这就需要使⽤到数字证书。,technical,hard,"1. 密钥⽣成 ：
⾸先，实体（例如服务器、个⼈或组织） 需要⽣成⼀对密钥：公钥和私钥。
公钥是⽤于加密和验证的，可以被公开分享。
私钥⽤于解密和签名，必须保密，只有持有者知道。
2. 证书请求（ CSR - Certificate  Signing  Request ）：
实体⽣成⼀个证书请求，其中包含公钥、实体信息（如名称、电⼦邮件等） 和签名。
CSR是⼀个包含有关实体信息的⽂本块，可以被发送到  数字证书颁发机构（ CA） 以获取数字证书。
3. 证书颁发 ：
实体将证书请求发送给数字证书颁发机构（ CA）。
CA会验证请求者的身份，然后使⽤⾃⼰的私钥对请求中的信息进⾏签名，⽣成数字证书。
数字证书包括公钥、实体信息、 CA的信息和签名等内容。
4. 证书验证 ：
当实体收到数字证书时，它可以使⽤ CA的公钥验证证书的签名，确保证书未被篡改且由合法的 CA签发。
接收者可以检查证书中的实体信息以及 CA的信息，确保证书的合法性。
5. 数字证书使⽤ ：
接收者可以使⽤数字证书中的公钥来加密数据，然后发送给证书的持有者。
持有者使⽤私钥解密数据，保护数据的机密性。
持有者还可以使"
,计算机网络,三次握⼿的过程,technical,hard,"TCP 是⾯向连接的协议，所以使⽤  TCP 前必须先建⽴连接，⽽建⽴连接是通过三次握⼿来进⾏的。
server_isn + 1
1、第⼀次握⼿： SYN报⽂：
客户端随机初始化序列号 client_isn  ，放进 TCP⾸部序列号段，然后把 SYN置1。把SYN报⽂发送给服务端，表示
发起连接，之后客户端处于 SYN-SENT 状态。
2、第⼆次握⼿： SYN+ACK 报⽂：
服务端收到客户端的 SYN报⽂之后，会把⾃⼰随机初始化的序号  server_isn  放进TCP⾸部序列号段，「 确认应答
号」填⼊client_isn  + 1 ，把SYN和ACK标志位置为 1。把SYN+ACK 报⽂发送给客户端，然后进⼊  SYN-RCVD 状
态,表示服务器接受了客户端的请求，并希望建⽴连接。
3、第三次握⼿： ACK报⽂：
客户端收到服务端报⽂后，还要向服务端回应 最后⼀个应答报⽂ 。⾸先该应答报⽂  TCP ⾸部  ACK 标志位置为  1 ，
其次「确认应答号 」字段填 ⼊ ，最后把报⽂发送给服务端， 这次报⽂可以携带客户到服务器 的
数据，之后客户端处于 ESTABLISHE"
,计算机网络,什么是半连接队列,technical,easy,"半连接队列（ SYN队列）⽤于存放已经发送了  SYN（同步） 包，但还未完成三次握⼿的连接：服务器第⼀次收到客
户端的  SYN 之后，就会处于   SYN_RCVD  状态，此时双⽅还没有完全建⽴其连接，服务器会把此种状态下请求连接
放在⼀个 队列⾥，我们把这种队列称之为 半连接队列 。
全连接队列（ Accept队列）⽤于存放已经完成三次握⼿，处于完全建⽴连接状态的连接。"
,计算机网络,什么是 SYN攻击,technical,easy,"在 SYN 攻击中，攻击者发送⼤量伪造的  SYN 请求到⽬标服务器，但不完成后续的握⼿过程，从⽽让服务器⼀直等
待确认，消耗服务器的资源（如半连接队列和系统资源），当半连接队列满了之后，后续再收到 SYN报⽂就会丢弃，
导致⽆法与客户端之间建⽴连接。"
,计算机网络,四次挥⼿的过程,technical,easy,"在挥⼿之前，客户端和服务器都处于 ESTABLISHED  状态
1. 第⼀次挥⼿：假设客户端打算关闭连接，发送⼀个 TCP⾸部FIN被置1的FIN 报⽂给服务端 , 此时客户端处于"
,计算机网络,为什么挥⼿需要四次,technical,medium,"关闭连接时，客户端发送 FIN报⽂，表示其不再发送数据， 但还可以接收数据 。
服务端收到 FIN报⽂，可以直接发送 SYN+AC K报⽂。其中 ACK报⽂是⽤来应答的， SYN报⽂是⽤来同步的。但是关
闭连接时，服务端可能还要数据需要处理和发送，所以先回⼀个 ACK应答报⽂，等到其不再发送数据时，才发送
FIN报⽂给客户端表示同意关闭连接。
从上⾯过程可知：服务端通常需要等待完成数据的发送和处理， 所以服务端的 ACK和FIN⼀般都会分开发送 ，从⽽
⽐三次握⼿导致多了⼀次。"
,计算机网络,为什么需要  TIME_WAIT  状态,technical,hard,"主动发起关闭连接的⼀⽅，才会有  TIME -WAIT 状态。
需要  TIME -WAIT 状态，主要是两个原因：
1. 防⽌历史连接中的数据，被后⾯相同四元组的连接错误的接收；
如果⽹络出现拥塞或延迟，数据包可能会在⽹络中滞留⼀段时间，甚⾄超过了原始连接关闭的时间。如果没有
TIME_WAIT 状态，客户端直接进⼊到 CLOSE状态，这些滞留的数据包可能会被传递给新连接，导致新连接的数据
被旧连接的数据⼲扰。
经过  2MSL 这个时间， ⾜以让两个⽅向上的数据包都被丢弃，使得原来连接的数据包在⽹络中都⾃然消失，再出现
的数据包⼀定都是新建⽴连接所产⽣的。
2. 保证「被动关闭连接」的⼀⽅能被正确的关闭，即保证最后的  ACK 能让被动关闭⽅接收，从⽽帮助其正常关
闭
如果最后的⼀次 ACK报⽂丢失（第四次挥⼿）， 客户端没有 TIME_WAIT  状态，直接进⼊ ClOS E，服务端⼀直在等待
ACK状态，⼀直没有等到，就会重发 FIN报⽂，⽽客户端已经进⼊到关闭状态，在收到服务端重传的  FIN 报⽂后，
就会回  RST 报⽂ ,服务端收到这个  RST 并将其解释为⼀个错误"
